nome_municipio,codigo_ibge,idhm_educa,idhm_renda,qtd_pes_baixa_renda,qtd_pes_pob
Barra do Guarita (RS),430185,0.672,0.696,479,330
Barra do Jacaré (PR),410270,0.747,0.678,343,537
Barra do Mendes (BA),290300,0.553,0.578,1961,6622
Barra do Ouro (TO),170307,0.517,0.557,1165,1799
Barra do Piraí (RJ),330030,0.665,0.723,8791,15572
Barra do Quaraí (RS),430187,0.548,0.659,463,1269
Barra do Ribeiro (RS),430190,0.529,0.691,1258,1770
Barra do Rio Azul (RS),430192,0.638,0.703,83,26
Barra do Rocha (BA),290310,0.465,0.585,375,3740
Barra do Turvo (SP),350540,0.532,0.625,985,2740
Barra dos Coqueiros (SE),280060,0.545,0.647,5291,11205
Barra Funda (RS),430195,0.71,0.731,171,43
Barra Longa (MG),310570,0.482,0.613,877,1421
Barra Mansa (RJ),330040,0.657,0.72,13362,28512
Barra Velha (SC),420210,0.639,0.735,5032,4574
Barracão (PR),410260,0.59,0.716,1337,1759
Barracão (RS),430180,0.568,0.711,583,647
Barras (PI),220120,0.485,0.558,4081,28794
Barreira (CE),230195,0.551,0.551,3580,11462
Barreiras (BA),290320,0.668,0.695,21491,43243
Barreiras do Piauí (PI),220130,0.423,0.56,449,1894
Barreirinha (AM),130050,0.522,0.469,5014,20996
Barreirinhas (MA),210170,0.479,0.515,10148,37542
Barreiros (PE),260140,0.491,0.561,5262,18608
Barretos (SP),350550,0.738,0.762,9076,9825
Barrinha (SP),350560,0.646,0.711,2900,7364
Barro (CE),230200,0.51,0.556,3101,8425
Barro Alto (BA),290323,0.55,0.551,1940,7200
Barro Alto (GO),520320,0.682,0.701,1547,2270
Barro Duro (PI),220140,0.514,0.611,636,3171
Barro Preto (BA),290330,0.508,0.576,424,3959
Barrocas (BA),290327,0.503,0.574,2520,7139
Barrolândia (TO),170310,0.541,0.6,1085,1616
Barroquinha (CE),230205,0.505,0.512,2422,8784
Barros Cassal (RS),430200,0.5,0.69,1705,715
Barroso (MG),310590,0.678,0.675,3071,4715
Barueri (SP),350570,0.708,0.791,33801,43378
Bastos (SP),350580,0.718,0.696,2055,1413
Bataguassu (MS),500190,0.606,0.698,4552,3646
Batalha (AL),270070,0.496,0.563,1959,10437
Batalha (PI),220150,0.398,0.54,3536,12725
Batatais (SP),350590,0.685,0.766,3718,7557
Batayporã (MS),500200,0.559,0.702,1400,2326
Baturité (CE),230210,0.548,0.574,5004,15629
Bauru (SP),350600,0.752,0.8,28613,33344
Bayeux (PB),250180,0.566,0.619,13647,32203
Bebedouro (SP),350610,0.735,0.756,5951,8191
Beberibe (CE),230220,0.571,0.585,8003,25588
Bela Cruz (CE),230230,0.598,0.533,4322,13611
Bela Vista (MS),500210,0.585,0.699,2838,7607
Bela Vista da Caroba (PR),410275,0.572,0.667,483,606
Bela Vista de Goiás (GO),520330,0.607,0.721,3596,7027
Bela Vista de Minas (MG),310600,0.597,0.644,1261,1678
Bela Vista do Maranhão (MA),210177,0.45,0.515,1309,6836
Bela Vista do Paraíso (PR),410280,0.604,0.721,1970,2086
Bela Vista do Piauí (PI),220155,0.519,0.52,966,1946
Bela Vista do Toldo (SC),420213,0.598,0.624,990,870
Belágua (MA),210173,0.455,0.417,939,7010
Belém (AL),270080,0.464,0.587,691,2084
Belém (PA),150140,0.673,0.751,132716,405971
Belém (PB),250190,0.492,0.557,2639,6814
Belém de Maria (PE),260150,0.479,0.537,1317,5493
Belém do Brejo do Cruz (PB),250200,0.451,0.55,697,3920
Belém do Piauí (PI),220157,0.448,0.537,625,1510
Belém do São Francisco (PE),260160,0.553,0.611,1769,12583
Belford Roxo (RJ),330045,0.598,0.662,43331,168204
Belmiro Braga (MG),310610,0.531,0.653,577,264
Belmonte (BA),290340,0.48,0.577,2480,9630
Belmonte (SC),420215,0.611,0.699,332,155
Belo Campo (BA),290350,0.444,0.562,2942,8723
Belo Horizonte (MG),310620,0.737,0.841,181055,262260
Belo Jardim (PE),260170,0.514,0.617,10375,31583
Belo Monte (AL),270090,0.376,0.507,767,4391
Belo Oriente (MG),310630,0.606,0.655,3371,5070
Belo Vale (MG),310640,0.514,0.672,962,2027
Belterra (PA),150145,0.478,0.548,4516,7750
Beneditinos (PI),220160,0.394,0.561,1110,5154
Benedito Leite (MA),210180,0.426,0.531,479,3034
Benedito Novo (SC),420220,0.645,0.723,484,338
Benevides (PA),150150,0.592,0.623,12255,26801
Benjamin Constant (AM),130060,0.471,0.526,5339,24942
Benjamin Constant do Sul (RS),430205,0.492,0.601,205,1014
Bento de Abreu (SP),350620,0.712,0.706,239,426
Bento Fernandes (RN),240160,0.494,0.542,726,2703
Bento Gonçalves (RS),430210,0.695,0.805,7147,3749
Bequimão (MA),210190,0.561,0.51,2071,10177
Berilo (MG),310650,0.524,0.58,1583,2911
Berizal (MG),310665,0.52,0.56,558,2449
Bernardino Batista (PB),250205,0.462,0.526,573,1671
Bernardino de Campos (SP),350630,0.662,0.713,1105,1953
Bernardo do Mearim (MA),210193,0.547,0.544,816,2432
Bernardo Sayão (TO),170320,0.573,0.606,800,1229
Bertioga (SP),350635,0.654,0.727,7019,17014
Bertolínia (PI),220170,0.507,0.596,863,2307
Bertópolis (MG),310660,0.455,0.576,898,2257
Beruri (AM),130063,0.346,0.512,2831,17102
Betânia (PE),260180,0.441,0.533,1834,6160
Betânia do Piauí (PI),220173,0.342,0.486,1045,3775
Betim (MG),310670,0.687,0.709,52503,69525
Bezerros (PE),260190,0.487,0.608,5272,28147
Bias Fortes (MG),310680,0.495,0.605,445,945
Bicas (MG),310690,0.667,0.726,1730,3096
Biguaçu (SC),420230,0.659,0.733,6128,8132
Bilac (SP),350640,0.722,0.743,748,505
Biquinhas (MG),310700,0.555,0.684,204,613
Birigui (SP),350650,0.734,0.743,8129,9069
Biritiba Mirim (SP),350660,0.64,0.71,3847,6990
Biritinga (BA),290360,0.402,0.525,2263,8362
Bituruna (PR),410290,0.556,0.645,3040,3255
Blumenau (SC),420240,0.722,0.812,16131,14707
Boa Esperança (ES),320100,0.59,0.651,2450,4507
Boa Esperança (MG),310710,0.587,0.694,7288,5323
Boa Esperança (PR),410300,0.673,0.687,577,747
Boa Esperança do Iguaçu (PR),410302,0.602,0.673,320,190
Boa Esperança do Sul (SP),350670,0.562,0.692,1642,1872
Boa Hora (PI),220177,0.46,0.534,616,4861
Boa Nova (BA),290370,0.453,0.535,1729,6880
Boa Ventura (PB),250210,0.48,0.566,750,2770
Boa Ventura de São Roque (PR),410304,0.553,0.635,1155,1751
Boa Viagem (CE),230240,0.504,0.553,8601,20108
Boa Vista (PB),250215,0.582,0.59,1393,1930
Boa Vista (RR),140010,0.708,0.737,72669,95431
Boa Vista da Aparecida (PR),410305,0.563,0.668,1182,2011
Boa Vista das Missões (RS),430215,0.561,0.666,286,289
Boa Vista do Buricá (RS),430220,0.697,0.761,466,290
Boa Vista do Cadeado (RS),430222,0.59,0.692,251,184
Boa Vista do Gurupi (MA),210197,0.461,0.515,928,4807
Boa Vista do Incra (RS),430223,0.641,0.703,235,423
Boa Vista do Ramos (AM),130068,0.484,0.496,1664,10485
Boa Vista do Sul (RS),430225,0.587,0.77,24,56
Boa Vista do Tupim (BA),290380,0.447,0.514,1862,9678
Boca da Mata (AL),270100,0.518,0.56,2202,10764
Boca do Acre (AM),130070,0.455,0.576,4064,16678
Bocaina (PI),220180,0.532,0.614,525,1634
Bocaina (SP),350680,0.656,0.741,934,1674
Bocaina de Minas (MG),310720,0.476,0.665,653,1653
Bocaina do Sul (SC),420243,0.549,0.642,508,670
Bocaiúva (MG),310730,0.644,0.648,6235,14763
Bocaiúva do Sul (PR),410310,0.473,0.679,2161,3982
Bodó (RN),240165,0.565,0.57,479,1522
Bodocó (PE),260200,0.445,0.543,3917,19496
Bodoquena (MS),500215,0.573,0.665,1140,1851
Bofete (SP),350690,0.609,0.7,1383,1563
Boituva (SP),350700,0.728,0.757,4248,7420
Bom Conselho (PE),260210,0.433,0.585,5891,21597
Bom Despacho (MG),310740,0.661,0.742,5777,7844
Bom Jardim (MA),210200,0.4,0.519,4473,17905
Bom Jardim (PE),260220,0.515,0.552,3503,19213
Bom Jardim (RJ),330050,0.503,0.707,2602,5847
Bom Jardim da Serra (SC),420250,0.568,0.71,500,1083
Bom Jardim de Goiás (GO),520340,0.545,0.68,1215,2440
Bom Jardim de Minas (MG),310750,0.569,0.653,994,1387
Bom Jesus (PB),250220,0.477,0.584,374,1179
Bom Jesus (PI),220190,0.562,0.665,3733,11139
Bom Jesus (RN),240170,0.46,0.583,1577,4426
Bom Jesus (RS),430230,0.51,0.697,1672,3254
Bom Jesus (SC),420253,0.606,0.74,295,559
Bom Jesus da Lapa (BA),290390,0.533,0.615,10306,25895
Bom Jesus da Penha (MG),310760,0.662,0.696,478,928
Bom Jesus da Serra (BA),290395,0.407,0.535,1489,5230
Bom Jesus das Selvas (MA),210203,0.431,0.537,4286,13860
Bom Jesus de Goiás (GO),520350,0.573,0.699,2763,3294
Bom Jesus do Amparo (MG),310770,0.582,0.655,1072,1178
Bom Jesus do Araguaia (MT),510185,0.555,0.665,1393,1900
Bom Jesus do Galho (MG),310780,0.491,0.615,2095,4845
Bom Jesus do Itabapoana (RJ),330060,0.662,0.723,5795,6137
Bom Jesus do Norte (ES),320110,0.673,0.689,1783,2709
Bom Jesus do Oeste (SC),420257,0.601,0.725,117,174
Bom Jesus do Sul (PR),410315,0.656,0.64,553,576
Bom Jesus do Tocantins (PA),150157,0.437,0.601,2701,6099
Bom Jesus do Tocantins (TO),170330,0.555,0.621,730,2201
Bom Jesus dos Perdões (SP),350710,0.631,0.716,2334,4460
Bom Lugar (MA),210207,0.493,0.486,1548,6337
Bom Princípio (RS),430235,0.661,0.751,585,282
Bom Princípio do Piauí (PI),220191,0.372,0.526,958,3597
Bom Progresso (RS),430237,0.643,0.7,391,473
Bom Repouso (MG),310790,0.523,0.647,2540,2886
Bom Retiro (SC),420260,0.559,0.704,985,1341
Bom Retiro do Sul (RS),430240,0.649,0.725,947,932
Bom Sucesso (MG),310800,0.602,0.68,3286,1107
Bom Sucesso (PB),250230,0.494,0.558,620,2048
Bom Sucesso (PR),410320,0.57,0.692,1139,386
Bom Sucesso de Itararé (SP),350715,0.613,0.605,650,1268
Bom Sucesso do Sul (PR),410322,0.695,0.704,546,193
Bombinhas (SC),420245,0.732,0.753,1872,2516
Bonfim (MG),310810,0.464,0.669,872,1905
Bonfim (RR),140015,0.509,0.597,1436,10813
Bonfim do Piauí (PI),220192,0.415,0.542,799,3242
Bonfinópolis (GO),520355,0.58,0.671,1973,1827
Bonfinópolis de Minas (MG),310820,0.598,0.655,826,1014
Boninal (BA),290400,0.514,0.564,2142,5957
Bonito (BA),290405,0.467,0.552,3033,8007
Bonito (MS),500220,0.508,0.714,3451,4760
Bonito (PA),150160,0.398,0.531,1710,7187
Bonito (PE),260230,0.42,0.559,4364,20595
Bonito de Minas (MG),310825,0.388,0.514,1502,4625
Bonito de Santa Fé (PB),250240,0.427,0.564,1207,5496
Bonópolis (GO),520357,0.488,0.63,448,1379
Boqueirão (PB),250250,0.496,0.592,2003,9613
Boqueirão do Leão (RS),430245,0.562,0.725,470,1168
Boqueirão do Piauí (PI),220194,0.434,0.555,812,3565
Boquim (SE),280067,0.492,0.581,3414,10870
Boquira (BA),290410,0.497,0.564,2817,9154
Borá (SP),350720,0.675,0.712,110,118
Boracéia (SP),350730,0.685,0.723,678,568
Borba (AM),130080,0.425,0.532,3711,20933
Borborema (PB),250270,0.426,0.544,947,2227
Borborema (SP),350740,0.658,0.71,1545,1259
Borda da Mata (MG),310830,0.64,0.703,1944,3020
Borebi (SP),350745,0.615,0.674,417,557
Borrazópolis (PR),410330,0.633,0.695,1149,976
Bossoroca (RS),430250,0.608,0.665,904,968
Botelhos (MG),310840,0.568,0.702,2127,2227
Botucatu (SP),350750,0.746,0.79,12461,14862
Botumirim (MG),310850,0.517,0.54,949,1856
Botuporã (BA),290420,0.464,0.543,1788,5102
Botuverá (SC),420270,0.604,0.741,384,280
Bozano (RS),430258,0.628,0.773,127,131
Braço do Norte (SC),420280,0.716,0.746,1934,2536
Braço do Trombudo (SC),420285,0.702,0.766,102,2
Braga (RS),430260,0.563,0.656,425,795
Bragança (PA),150170,0.486,0.589,16255,62464
Bragança Paulista (SP),350760,0.704,0.772,14843,18238
Braganey (PR),410335,0.627,0.689,957,526
Branquinha (AL),270110,0.362,0.534,1651,4725
Brás Pires (MG),310870,0.523,0.582,505,1352
Brasil Novo (PA),150172,0.451,0.632,3127,9173
Brasilândia (MS),500230,0.57,0.721,1892,2535
Brasilândia de Minas (MG),310855,0.559,0.646,2340,4308
Brasilândia do Sul (PR),410337,0.572,0.68,643,493
Brasilândia do Tocantins (TO),170360,0.601,0.64,469,712
Brasiléia (AC),120010,0.485,0.619,3004,13405
Brasileira (PI),220196,0.446,0.572,935,3919
Brasília (DF),530010,0.742,0.863,249577,450982
Brasília de Minas (MG),310860,0.568,0.612,5603,10581
Brasnorte (MT),510190,0.571,0.695,2496,2474
Brazópolis (MG),310890,0.566,0.697,2653,1090
Braúna (SP),350770,0.664,0.725,525,1292
Braúnas (MG),310880,0.478,0.635,572,1253
Brazabrantes (GO),520360,0.615,0.677,640,742
Brejão (PE),260240,0.417,0.54,1550,5490
Brejetuba (ES),320115,0.54,0.63,3393,2906
Brejinho (PE),260250,0.493,0.563,1096,3928
Brejinho (RN),240180,0.492,0.585,2379,4598
Brejinho de Nazaré (TO),170370,0.619,0.635,830,1662
Brejo (MA),210210,0.454,0.517,3876,17960
Brejo Alegre (SP),350775,0.618,0.702,430,559
Brejo da Madre de Deus (PE),260260,0.417,0.581,7271,26286
Brejo de Areia (MA),210215,0.408,0.507,809,6359
Brejo do Cruz (PB),250280,0.463,0.575,2060,6811
Brejo do Piauí (PI),220198,0.354,0.531,390,2486
Brejo dos Santos (PB),250290,0.541,0.564,709,3116
Brejo Grande (SE),280070,0.435,0.515,1386,3846
Brejo Grande do Araguaia (PA),150175,0.473,0.588,1028,3906
Brejo Santo (CE),230250,0.592,0.596,7918,16930
Brejões (BA),290430,0.49,0.56,1404,6171
Brejolândia (BA),290440,0.523,0.533,1292,3862
Breu Branco (PA),150178,0.422,0.555,4825,22509
Breves (PA),150180,0.312,0.524,9524,74805
Britânia (GO),520380,0.546,0.692,1177,964
Brochier (RS),430265,0.554,0.723,340,249
Brodowski (SP),350780,0.675,0.738,2005,3222
Brotas (SP),350790,0.688,0.724,2073,1255
Brotas de Macaúbas (BA),290450,0.445,0.552,1310,5657
Brumadinho (MG),310900,0.639,0.761,4517,4407
Brumado (BA),290460,0.554,0.63,13555,13385
Brunópolis (SC),420287,0.545,0.646,298,445
Brusque (SC),420290,0.707,0.794,5684,5716
Bueno Brandão (MG),310910,0.507,0.662,2647,1198
Buenópolis (MG),310920,0.579,0.65,1368,2441
Buenos Aires (PE),260270,0.481,0.556,1683,7520
Buerarema (BA),290470,0.495,0.604,2174,6460
Bugre (MG),310925,0.511,0.602,583,1303
Buíque (PE),260280,0.395,0.497,5416,27725
Bujari (AC),120013,0.439,0.603,2702,5076
Bujaru (PA),150190,0.437,0.495,4360,16160
Buri (SP),350800,0.578,0.642,3014,7036
Buritama (SP),350810,0.72,0.736,1868,3122
Buriti (MA),210220,0.48,0.479,2793,19308
Buriti Alegre (GO),520390,0.614,0.7,1186,1211
Buriti Bravo (MA),210230,0.506,0.539,1520,13983
Buriti de Goiás (GO),520393,0.57,0.707,517,686
Buriti do Tocantins (TO),170380,0.601,0.575,1477,2696
Buriti dos Lopes (PI),220200,0.452,0.544,2985,10429
Buriti dos Montes (PI),220202,0.46,0.527,1003,3895
Buriticupu (MA),210232,0.455,0.533,7202,25104
Buritinópolis (GO),520396,0.591,0.727,505,1309
Buritirama (BA),290475,0.471,0.504,2895,12792
Buritirana (MA),210235,0.505,0.54,1658,6668
Buritis (MG),310930,0.558,0.666,4470,5927
Buritis (RO),110045,0.479,0.65,4290,5096
Buritizal (SP),350820,0.643,0.743,496,949
Buritizeiro (MG),310940,0.524,0.603,2726,10380
Butiá (RS),430270,0.558,0.691,1770,4376
Caapiranga (AM),130083,0.436,0.544,1061,8034
Caaporã (PB),250300,0.509,0.565,2756,9763
Caarapó (MS),500240,0.592,0.676,5147,3997
Caatiba (BA),290480,0.406,0.579,991,2629
Cabaceiras (PB),250310,0.523,0.574,911,2165
Cabaceiras do Paraguaçu (BA),290485,0.49,0.525,2514,9388
Cabeceira Grande (MG),310945,0.542,0.638,872,1536
Cabeceiras (GO),520400,0.571,0.637,903,2600
Cabeceiras do Piauí (PI),220205,0.476,0.54,1378,4733
Cabedelo (PB),250320,0.651,0.782,5685,20861
Cabixi (RO),110003,0.559,0.65,989,772
Cabo de Santo Agostinho (PE),260290,0.609,0.654,28586,69547
Cabo Frio (RJ),330070,0.64,0.743,24857,54530
Cabo Verde (MG),310950,0.527,0.686,2377,1179
Cabrália Paulista (SP),350830,0.619,0.667,741,684
Cabreúva (SP),350840,0.678,0.717,3814,4503
Cabrobó (PE),260300,0.539,0.581,4480,18673
Caçador (SC),420300,0.62,0.728,7748,6378
Caçapava (SP),350850,0.755,0.754,8635,10165
Caçapava do Sul (RS),430280,0.585,0.699,3049,5566
Cacaulândia (RO),110060,0.506,0.664,1093,643
Cacequi (RS),430290,0.626,0.68,1051,3185
Cáceres (MT),510250,0.633,0.691,14753,21024
Cachoeira (BA),290490,0.577,0.615,3729,14919
Cachoeira Alta (GO),520410,0.569,0.75,1323,2056
Cachoeira da Prata (MG),310960,0.707,0.689,598,458
Cachoeira de Goiás (GO),520420,0.674,0.68,185,500
Cachoeira de Minas (MG),310970,0.637,0.673,1482,874
Cachoeira de Pajeú (MG),310270,0.444,0.563,1028,3758
Cachoeira do Arari (PA),150200,0.398,0.525,2325,14094
Cachoeira do Piriá (PA),150195,0.303,0.449,2378,12212
Cachoeira do Sul (RS),430300,0.648,0.739,7683,13142
Cachoeira dos Índios (PB),250330,0.453,0.583,1124,4450
Cachoeira Dourada (GO),520425,0.602,0.703,1101,1077
Cachoeira Dourada (MG),310980,0.648,0.695,257,288
Cachoeira Grande (MA),210237,0.476,0.422,764,8629
Cachoeira Paulista (SP),350860,0.728,0.733,2862,6134
Cachoeiras de Macacu (RJ),330080,0.603,0.695,6024,17498
Cachoeirinha (PE),260310,0.439,0.587,2462,11087
Cachoeirinha (RS),430310,0.675,0.749,12277,17626
Cachoeirinha (TO),170382,0.59,0.548,456,797
Cachoeiro de Itapemirim (ES),320120,0.677,0.733,19880,26890
Cacimba de Areia (PB),250340,0.497,0.553,326,2291
Cacimba de Dentro (PB),250350,0.419,0.551,2246,7651
Cacimbas (PB),250355,0.425,0.501,578,5021
Cacimbinhas (AL),270120,0.384,0.559,1681,4367
Cacique Doble (RS),430320,0.528,0.677,683,707
Cacoal (RO),110004,0.62,0.727,12775,12704
Caconde (SP),350870,0.62,0.701,2636,2735
Caçu (GO),520430,0.599,0.774,1809,1973
Caculé (BA),290500,0.541,0.621,3939,5580
Caém (BA),290510,0.434,0.535,1015,6247
Caetanópolis (MG),310990,0.617,0.674,1261,1838
Caetanos (BA),290515,0.409,0.536,1834,6403
Caeté (MG),311000,0.663,0.69,3753,5378
Caetés (PE),260320,0.392,0.497,3807,14906
Caetité (BA),290520,0.484,0.631,8405,19124
Cafarnaum (BA),290530,0.49,0.554,2304,9854
Cafeara (PR),410340,0.602,0.683,442,236
Cafelândia (PR),410345,0.692,0.723,2279,2390
Cafelândia (SP),350880,0.661,0.714,1475,2526
Cafezal do Sul (PR),410347,0.611,0.686,743,468
Caiabu (SP),350890,0.691,0.682,306,394
Caiana (MG),311010,0.483,0.631,852,1543
Caiapônia (GO),520440,0.588,0.701,3004,1717
Caibaté (RS),430330,0.611,0.709,410,477
Caibi (SC),420310,0.631,0.737,598,307
Caiçara (PB),250360,0.488,0.58,964,3195
Caiçara (RS),430340,0.58,0.721,294,905
Caiçara do Norte (RN),240185,0.454,0.572,902,3144
Caiçara do Rio do Vento (RN),240190,0.499,0.553,567,1982
Caicó (RN),240200,0.619,0.703,8220,16165
Caieiras (SP),350900,0.749,0.74,6926,11906
Cairu (BA),290540,0.51,0.6,2163,8713
Caiuá (SP),350910,0.635,0.665,515,1087
Cajamar (SP),350920,0.668,0.713,9617,16829
Cajapió (MA),210240,0.505,0.466,1031,5791
Cajari (MA),210250,0.421,0.456,1715,14120
Cajati (SP),350925,0.611,0.658,3982,5883
Cajazeiras (PB),250370,0.574,0.668,6396,27417
Cajazeiras do Piauí (PI),220207,0.449,0.525,661,1216
Cajazeirinhas (PB),250375,0.413,0.521,329,2278
Cajobi (SP),350930,0.674,0.714,1076,1186
Cajueiro (AL),270130,0.473,0.542,1954,9346
Cajueiro da Praia (PI),220208,0.4,0.551,2016,3078
Cajuri (MG),311020,0.487,0.599,883,1197
Cajuru (SP),350940,0.633,0.693,2020,3683
Calçado (PE),260330,0.468,0.529,1321,4903
Calçoene (AP),160020,0.55,0.636,1060,6355
Caldas (MG),311030,0.529,0.701,1456,2010
Caldas Brandão (PB),250380,0.451,0.562,705,3143
Caldas Novas (GO),520450,0.64,0.739,14350,12408
Caldazinha (GO),520455,0.591,0.669,984,691
Caldeirão Grande (BA),290550,0.473,0.526,869,8751
Caldeirão Grande do Piauí (PI),220209,0.486,0.561,822,2979
Califórnia (PR),410350,0.638,0.718,1239,1505
Calmon (SC),420315,0.5,0.618,901,838
Calumbi (PE),260340,0.46,0.567,1088,3683
Camacan (BA),290560,0.419,0.608,4445,7827
Camaçari (BA),290570,0.616,0.681,33299,99864
Camacho (MG),311040,0.612,0.639,296,441
Camalaú (PB),250390,0.431,0.549,729,3498
Camamu (BA),290580,0.452,0.562,4474,16219
Camanducaia (MG),311050,0.553,0.707,2467,3518
Camapuã (MS),500260,0.596,0.715,1756,3245
Camaquã (RS),430350,0.578,0.715,6563,9956
Camaragibe (PE),260345,0.628,0.656,18966,47357
Camargo (RS),430355,0.612,0.762,245,153
Cambará (PR),410360,0.645,0.711,3593,3292
Cambará do Sul (RS),430360,0.574,0.705,783,694
Cambé (PR),410370,0.651,0.724,10520,11343
Cambira (PR),410380,0.651,0.702,1764,1012
Camboriú (SC),420320,0.6,0.736,10186,6217
Cambuci (RJ),330090,0.608,0.672,1531,4014
Cambuí (MG),311060,0.674,0.722,3069,3085
Cambuquira (MG),311070,0.577,0.691,2015,2278
Cametá (PA),150210,0.474,0.538,12772,87255
Camocim (CE),230260,0.578,0.565,11023,26078
Camocim de São Félix (PE),260350,0.472,0.585,1594,10210
Campanário (MG),311080,0.464,0.607,525,1136
Campanha (MG),311090,0.587,0.715,2881,2461
Campestre (AL),270135,0.435,0.55,762,3516
Campestre (MG),311100,0.566,0.712,2526,2558
Campestre da Serra (RS),430367,0.557,0.713,120,412
Campestre de Goiás (GO),520460,0.556,0.628,719,1232
Campestre do Maranhão (MA),210255,0.586,0.611,2115,4404
Campina da Lagoa (PR),410390,0.623,0.677,2213,2843
Campina das Missões (RS),430370,0.677,0.698,303,191
Campina do Monte Alegre (SP),350945,0.634,0.687,997,1055
Campina do Simão (PR),410395,0.527,0.598,910,1005
Campina Grande (PB),250400,0.654,0.702,65310,83248
Campina Grande do Sul (PR),410400,0.605,0.712,5340,8943
Campina Verde (MG),311110,0.562,0.714,2769,1288
Campinaçu (GO),520465,0.476,0.644,422,1358
Campinápolis (MT),510260,0.324,0.597,2080,7312
Campinas (SP),350950,0.731,0.829,78242,129820
Campinas do Piauí (PI),220210,0.397,0.524,739,2722
Campinas do Sul (RS),430380,0.691,0.753,470,496
Campinorte (GO),520470,0.565,0.685,1919,3288
Campo Alegre (AL),270140,0.47,0.531,4284,12253
Campo Alegre (SC),420330,0.636,0.677,1320,872
Campo Alegre de Goiás (GO),520480,0.586,0.702,923,1404
